Red,Green,Blue
108.22,77.12,64.68
108.22,77.12,64.68
113.67,76.81,61.45
115.59,77.65,59.12
109.88,78.78,61.16
113.46,75.26,62.91
104.76,75.81,67.54
107.78,74.92,65.72
102.28,78.46,67.25
112.85,74.87,62.94
115.73,74.54,60.81
103.64,77.73,66.82
103.38,77.19,67.54
102.85,77.49,67.62
113.91,74.20,63.75
120.53,71.33,63.14
123.16,68.52,62.45
107.78,74.92,67.04
106.59,75.56,68.81
110.06,77.37,63.21
109.29,83.94,57.81
108.54,74.54,68.00
114.75,71.86,64.91
119.14,70.02,64.80
117.36,71.49,65.08
120.84,70.41,63.75
121.39,69.86,63.75
122.95,69.21,61.93
121.06,71.26,61.82
110.30,74.72,65.23
115.33,73.01,64.54
120.84,70.41,63.75
112.70,74.00,66.03
117.28,72.09,64.56
101.17,78.99,67.91
107.92,82.13,60.17
119.71,76.50,56.67
121.34,72.98,58.91
108.99,82.15,71.88
98.56,78.22,70.40
116.41,70.96,65.41
113.99,71.68,66.98
99.59,76.95,70.92
110.03,73.78,67.31
108.99,82.15,71.88
120.12,70.60,62.17
119.63,70.31,61.91
118.17,71.52,62.20
94.62,80.19,70.57
110.46,75.21,63.46
115.71,72.86,63.21
114.91,73.33,63.48
127.85,69.16,56.59
125.35,68.69,59.24
120.23,70.78,61.08
106.14,75.81,67.54
112.25,73.21,65.89
99.51,77.74,69.97
107.15,75.96,66.46
109.47,74.70,65.68
115.81,72.38,63.47
118.43,72.58,61.12
118.94,72.31,60.90
120.34,72.58,60.17
125.18,71.09,57.95
124.01,71.31,58.13
124.43,70.66,57.61
124.07,71.55,57.85
123.34,72.64,57.51
123.05,72.65,57.08
121.80,74.08,56.98
121.83,74.38,56.67
121.23,75.25,56.43
119.71,75.79,56.67
118.95,76.57,56.50
118.85,76.73,57.17
117.99,76.88,57.85
115.98,77.32,58.40
115.19,77.38,58.91
111.40,80.94,58.31
112.23,80.87,57.77
111.56,82.20,57.88
123.45,74.19,56.11
119.89,73.37,59.95
105.24,76.90,66.11
111.18,73.72,66.47
105.00,76.36,68.18
106.68,75.46,67.65
110.37,73.58,65.97
105.00,76.36,68.18
108.64,85.25,57.34
105.56,76.77,68.55
114.69,71.27,65.70
115.30,72.07,66.52
102.89,76.05,70.09
99.59,78.46,70.92
105.08,75.66,68.65
111.49,73.53,67.60
91.80,79.90,73.10
105.62,83.76,74.45
