Red,Green,Blue
63.31,93.21,82.66
65.07,93.21,82.66
63.75,93.85,83.23
63.75,93.75,82.50
63.75,93.75,82.50
63.75,92.73,83.07
62.77,92.19,82.38
64.24,93.44,81.76
63.75,92.73,83.07
62.70,94.06,83.61
64.65,93.38,82.61
69.26,92.87,81.85
71.51,88.49,76.85
62.29,93.44,81.76
63.24,93.84,81.60
61.69,92.54,82.26
63.75,93.63,81.68
63.75,92.89,81.96
63.75,92.73,81.14
65.92,93.67,81.53
65.98,94.51,82.03
63.75,92.89,81.96
63.30,92.23,83.19
69.13,92.17,75.27
62.20,93.29,82.93
67.29,92.08,81.46
70.59,92.20,82.12
69.55,92.73,83.18
68.83,92.30,82.91
61.62,93.50,82.88
67.11,93.95,83.51
65.68,92.73,81.14
64.24,93.44,81.76
67.27,92.30,81.35
64.22,92.56,83.11
64.21,93.56,82.55
65.30,93.29,82.41
68.00,93.50,81.60
65.43,93.95,82.20
65.11,94.04,83.19
68.10,92.73,82.59
66.30,93.50,81.60
65.11,94.04,83.19
65.43,92.27,83.88
64.67,92.39,83.15
66.11,94.44,83.43
64.21,93.56,82.55
65.43,93.95,82.20
64.24,93.44,81.76
66.79,93.50,82.57
65.47,93.04,82.70
63.75,92.89,81.96
68.30,92.59,81.96
67.89,92.73,82.79
64.67,92.39,83.15
64.97,92.58,82.83
63.75,92.73,83.07
66.59,92.58,82.83
61.76,93.63,81.68
63.28,93.07,81.90
66.74,92.42,82.15
66.52,93.45,82.36
63.27,93.95,82.44
69.82,92.59,81.96
63.22,92.73,82.19
62.20,93.29,82.93
64.22,92.56,83.11
67.36,93.02,81.79
67.36,93.02,81.79
67.36,93.02,81.79
68.60,93.95,82.02
65.07,93.21,82.66
64.60,93.50,83.30
64.62,94.32,82.09
64.62,94.32,82.09
64.62,94.32,82.09
64.62,94.32,82.09
64.62,94.32,82.09
64.62,94.32,82.09
64.62,94.32,82.09
64.62,94.32,82.09
64.62,94.32,82.09
64.62,94.32,82.09
64.21,93.56,82.55
62.80,93.25,81.83
64.60,93.50,83.30
67.39,92.89,80.14
69.69,91.86,80.78
64.20,92.73,82.03
65.52,93.85,83.23
68.22,94.20,82.83
64.18,93.67,83.27
64.62,92.57,82.09
66.23,94.38,82.79
64.20,94.51,83.81
64.62,92.57,82.09
65.98,94.51,82.03
65.52,93.85,83.23
65.07,93.21,82.66
65.07,93.21,82.66
