Red,Green,Blue
78.20,88.40,74.80
78.20,88.40,74.80
78.20,88.40,74.80
78.20,88.40,74.80
78.20,88.40,74.80
78.20,88.40,74.80
78.20,88.40,74.80
78.20,88.40,74.80
77.38,89.69,75.62
76.85,89.08,75.10
75.62,89.69,73.86
75.62,89.69,75.62
77.53,89.59,74.09
78.97,88.84,74.03
80.10,88.27,73.56
77.68,87.81,74.30
76.15,88.54,74.38
74.90,89.16,74.90
74.68,89.25,76.50
73.38,89.89,75.22
73.38,89.89,77.05
73.12,90.00,76.88
74.15,90.43,75.96
71.78,90.67,75.56
77.01,88.99,75.30
79.48,89.42,74.51
77.01,88.99,73.59
77.01,88.99,73.59
76.85,89.08,75.10
77.68,89.50,74.30
78.85,88.91,73.82
78.85,88.91,73.82
77.68,89.50,74.30
78.06,88.47,74.59
76.33,88.47,74.59
76.33,88.47,74.59
77.53,89.59,74.09
77.53,89.59,74.09
77.53,89.59,74.09
77.53,89.59,74.09
77.53,89.59,74.09
77.53,89.59,74.09
77.53,89.59,74.09
77.53,89.59,74.09
77.53,89.59,74.09
77.53,89.59,74.09
77.53,89.59,74.09
77.53,89.59,74.09
77.53,89.59,74.09
77.53,89.59,74.09
77.53,89.59,74.09
77.53,89.59,74.09
77.53,89.59,74.09
77.53,89.59,74.09
76.15,90.31,74.38
76.15,90.31,76.15
75.42,89.79,75.42
74.68,89.25,76.50
75.81,89.59,74.09
74.38,88.54,74.38
78.72,88.99,75.30
76.33,88.47,74.59
75.62,89.69,75.62
76.33,88.47,74.59
75.62,89.69,75.62
76.85,89.08,75.10
77.01,88.99,73.59
75.62,89.69,75.62
75.42,89.79,75.42
74.90,89.16,74.90
76.15,88.54,74.38
72.31,89.44,76.12
75.22,89.89,77.05
76.85,89.08,75.10
76.85,89.08,75.10
76.33,88.47,74.59
76.85,89.08,75.10
77.68,87.81,74.30
81.28,87.66,73.31
79.48,87.76,72.86
76.33,88.47,74.59
76.33,88.47,74.59
82.95,87.56,72.20
78.97,88.84,74.03
71.78,90.67,77.44
75.42,89.79,75.42
75.42,89.79,75.42
75.42,89.79,75.42
74.90,89.16,74.90
74.90,89.16,74.90
74.90,89.16,74.90
74.90,89.16,74.90
74.90,89.16,74.90
75.42,89.79,75.42
75.42,89.79,75.42
75.42,89.79,75.42
75.42,89.79,75.42
75.42,89.79,75.42
75.42,89.79,75.42
74.90,89.16,74.90
