Red,Green,Blue
0.455,0.373,0.172
0.454,0.373,0.172
0.455,0.373,0.172
0.463,0.357,0.180
0.455,0.367,0.178
0.455,0.366,0.179
0.463,0.359,0.178
0.468,0.357,0.176
0.458,0.368,0.174
0.471,0.353,0.175
0.459,0.364,0.177
0.453,0.373,0.174
0.452,0.375,0.172
0.469,0.356,0.175
0.462,0.363,0.175
0.458,0.369,0.173
0.459,0.369,0.172
0.478,0.341,0.181
0.452,0.375,0.173
0.459,0.365,0.176
0.460,0.366,0.174
0.465,0.359,0.175
0.480,0.346,0.174
0.482,0.342,0.176
0.485,0.325,0.190
0.462,0.362,0.176
0.460,0.364,0.177
0.484,0.335,0.182
0.478,0.347,0.176
0.466,0.356,0.178
0.487,0.330,0.183
0.498,0.319,0.182
0.453,0.371,0.176
0.476,0.344,0.180
0.462,0.362,0.176
0.478,0.344,0.178
0.454,0.368,0.178
0.451,0.372,0.177
0.461,0.366,0.173
0.464,0.356,0.180
0.462,0.351,0.187
0.474,0.348,0.178
0.456,0.368,0.176
0.462,0.359,0.178
0.468,0.352,0.181
0.450,0.378,0.172
0.466,0.354,0.180
0.457,0.365,0.178
0.473,0.349,0.178
0.475,0.348,0.177
