Red,Green,Blue
0.299,0.413,0.288
0.299,0.412,0.289
0.325,0.443,0.232
0.330,0.429,0.241
0.301,0.432,0.267
0.297,0.416,0.287
0.297,0.423,0.279
0.304,0.427,0.269
0.304,0.424,0.272
0.308,0.423,0.269
0.308,0.442,0.250
0.305,0.440,0.255
0.301,0.421,0.278
0.302,0.415,0.283
0.302,0.412,0.286
0.300,0.419,0.281
0.311,0.432,0.257
0.320,0.439,0.241
0.326,0.442,0.233
0.346,0.421,0.234
0.341,0.431,0.227
0.338,0.428,0.235
0.340,0.418,0.241
0.341,0.419,0.240
0.344,0.428,0.228
0.351,0.421,0.228
0.349,0.425,0.225
0.304,0.386,0.310
0.302,0.411,0.286
0.305,0.401,0.294
0.324,0.425,0.251
0.350,0.426,0.224
0.337,0.427,0.235
0.336,0.418,0.246
0.337,0.429,0.233
0.343,0.425,0.232
0.337,0.426,0.236
0.332,0.426,0.242
0.331,0.428,0.241
0.331,0.426,0.243
0.332,0.428,0.240
0.331,0.426,0.243
0.335,0.431,0.234
0.338,0.444,0.219
0.314,0.440,0.246
0.300,0.423,0.277
0.300,0.429,0.271
0.299,0.436,0.265
0.300,0.438,0.262
0.302,0.437,0.261
0.299,0.437,0.264
0.301,0.436,0.263
0.303,0.428,0.269
0.302,0.429,0.269
0.297,0.432,0.271
0.318,0.408,0.274
0.330,0.433,0.236
0.344,0.408,0.247
0.331,0.445,0.224
0.347,0.441,0.212
0.334,0.433,0.233
0.327,0.431,0.242
0.306,0.434,0.260
0.301,0.441,0.259
0.302,0.414,0.284
0.301,0.413,0.286
0.301,0.417,0.282
0.325,0.416,0.259
0.329,0.432,0.239
0.317,0.434,0.248
0.303,0.425,0.272
0.310,0.443,0.247
0.327,0.436,0.236
0.330,0.449,0.220
0.320,0.443,0.237
0.334,0.432,0.233
0.333,0.425,0.241
0.326,0.427,0.247
0.313,0.420,0.267
0.298,0.414,0.288
0.301,0.413,0.286
0.303,0.421,0.276
0.304,0.426,0.270
0.326,0.426,0.248
0.333,0.412,0.254
0.348,0.428,0.224
0.331,0.432,0.236
0.311,0.424,0.265
0.299,0.423,0.278
0.297,0.415,0.287
0.305,0.413,0.282
0.297,0.415,0.287
0.300,0.435,0.265
0.329,0.426,0.246
0.337,0.433,0.230
0.336,0.431,0.232
0.348,0.427,0.226
0.332,0.447,0.221
0.311,0.430,0.259
0.298,0.426,0.275
