Red,Green,Blue
0.523,0.256,0.222
0.523,0.256,0.221
0.523,0.256,0.221
0.523,0.254,0.223
0.522,0.255,0.224
0.516,0.256,0.227
0.526,0.256,0.218
0.528,0.251,0.220
0.526,0.256,0.218
0.530,0.251,0.219
0.532,0.253,0.215
0.528,0.254,0.219
0.527,0.255,0.218
0.530,0.252,0.217
0.527,0.253,0.220
0.525,0.253,0.221
0.524,0.254,0.222
0.528,0.257,0.215
0.514,0.274,0.212
0.496,0.289,0.215
0.500,0.281,0.219
0.528,0.256,0.216
0.517,0.261,0.221
0.525,0.260,0.215
0.525,0.261,0.214
0.512,0.267,0.221
0.514,0.260,0.226
0.527,0.254,0.219
0.524,0.252,0.223
0.524,0.255,0.221
0.519,0.258,0.223
0.509,0.275,0.216
0.508,0.274,0.218
0.526,0.258,0.216
0.517,0.261,0.221
0.501,0.274,0.224
0.534,0.250,0.216
0.529,0.251,0.221
0.518,0.258,0.224
0.544,0.242,0.214
0.529,0.251,0.219
0.537,0.247,0.216
0.531,0.252,0.217
0.516,0.259,0.225
0.522,0.255,0.223
0.529,0.250,0.221
0.520,0.256,0.224
0.522,0.256,0.222
0.531,0.250,0.219
0.531,0.250,0.219
